id,city,district,neighborhood,condition,type,rooms,area_m2,lift,views,floor,prices
939,Barcelona,Sants-Montjuïc,el Poble Sec - AEI Parc de Montjuïc,good condition,Flat,4,112,Yes,exterior, floor 1,379000
940,Barcelona,Ciutat Vella,el Raval,good condition,Flat,4,143,No,exterior, floor 2,410000
941,Barcelona,Les Corts,les Corts,good condition,Flat,2,95,Yes,exterior, floor 1,530500
942,Barcelona,Les Corts,les Corts,good condition,Flat,2,100,Yes,exterior, floor 4,630000
943,Barcelona,Les Corts,les Corts,good condition,Flat,2,102,Yes,exterior, floor 1,550000
944,Barcelona,Gràcia,la Vila de Gràcia,good condition,Flat,2,88,Yes,exterior, floor 2,646000
945,Barcelona,Ciutat Vella,el Raval,good condition,Flat,3,153,No,exterior, floor 1,570000
946,Barcelona,Les Corts,Pedralbes,good condition,Flat,4,215,Yes,exterior, floor 7,1050000
947,Barcelona,Gràcia,la Vila de Gràcia,good condition,Flat,2,88,No,exterior, floor 2,440000
948,Barcelona,Sarrià-Sant Gervasi,el Putxet i el Farró,good condition,House,3,220,No,exterior,Multiple,890000
949,Barcelona,Eixample,el Fort Pienc,good condition,Flat,1,46,Yes,exterior, floor 3,297000
950,Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,good condition,Flat,3,234,Yes,exterior,ground floor,1100000
951,Barcelona,Sants-Montjuïc,el Poble Sec - AEI Parc de Montjuïc,good condition,Flat,2,50,Yes,exterior,mezzanine,290000
952,Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,good condition,Flat,4,149,Yes,exterior, floor 6,960000
953,Barcelona,Ciutat Vella,el Barri Gòtic,good condition,Flat,3,86,No,exterior, floor 2,359000
954,Barcelona,Ciutat Vella,el Raval,good condition,Flat,2,81,No,exterior, floor 2,440000
955,Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,good condition,Flat,4,280,Yes,exterior,ground floor,2750000
956,Barcelona,Ciutat Vella,el Barri Gòtic,good condition,Flat,2,219,Yes,exterior, floor 1,1280000
957,Barcelona,Sarrià-Sant Gervasi,el Putxet i el Farró,good condition,House,4,323,No,exterior,Multiple,1890000
958,Barcelona,Sant Martí,el Poblenou,good condition,House,3,136,No,exterior,Multiple,890000
959,Barcelona,Ciutat Vella,el Barri Gòtic,good condition,Flat,2,103,Yes,exterior, floor 1,680000
960,Barcelona,Gràcia,la Vila de Gràcia,good condition,Flat,4,120,No,interior, floor 1,499000
961,Barcelona,Eixample,la Nova Esquerra de l'Eixample,good condition,Flat,2,91,Yes,exterior, floor 1,375000
962,Barcelona,Sant Martí,el Poblenou,good condition,Flat,1,56,Yes,exterior, floor 2,432000
963,Barcelona,Sant Martí,Provençals del Poblenou,good condition,Flat,2,58,Yes,exterior, floor 2,435000
964,Barcelona,Sarrià-Sant Gervasi,Vallvidrera - el Tibidabo i les Planes,good condition,House,6,546,No,exterior,Multiple,1750000
965,Barcelona,Ciutat Vella,Sant Pere - Santa Caterina i la Ribera,good condition,Flat,2,318,Yes,exterior, floor 4,2500000
966,Barcelona,Sarrià-Sant Gervasi,les Tres Torres,good condition,House,3,265,No,exterior,Multiple,2750000
967,Barcelona,Sarrià-Sant Gervasi,Vallvidrera - el Tibidabo i les Planes,good condition,House,6,380,No,exterior,Multiple,1850000
968,Barcelona,Sarrià-Sant Gervasi,Sarrià,good condition,House,5,376,No,exterior,Multiple,1150000
969,Barcelona,Les Corts,Pedralbes,good condition,House,8,750,No,exterior,Multiple,5800000
970,Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,good condition,Flat,4,191,Yes,exterior, floor 1,1175000
971,Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,good condition,Flat,6,300,Yes,exterior, floor 5,1550000
